시도,구시군,선거인수,투표수,득표수_1_한나라당_이원종,득표수_3_자유민주연합_구천서,득표수_4_무소속_장한량,득표수_계,무효투표수,기권수
충청북도,합계,1076451,600550,343546,196253,46459,586258,14292,475901
충청북도,청주시상당구,163686,76240,46565,21875,6693,75133,1107,87446
충청북도,청주시흥덕구,246912,109497,66724,32496,8636,107856,1641,137415
충청북도,충주시,154380,83817,49029,26735,5968,81732,2085,70563
충청북도,제천시,105294,62841,46428,11768,3476,61672,1169,42453
충청북도,단양군,29210,20330,13104,5372,1310,19786,544,8880
충청북도,청원군,92158,55498,28133,20965,4846,53944,1554,36660
충청북도,영동군,43630,31206,18517,9041,2699,30257,949,12424
충청북도,보은군,32369,24757,8565,13877,1566,24008,749,7612
충청북도,옥천군,45404,31654,12864,14975,2615,30454,1200,13750
충청북도,음성군,63645,41437,22367,14314,3562,40243,1194,22208
충청북도,진천군,43616,27085,12185,11845,2213,26243,842,16531
충청북도,괴산군,56147,36188,19065,12990,2875,34930,1258,19959
