시도,구시군,선거인수,투표수,득표수_1_한나라당_정우택,득표수_2_민주당_이시종,득표수_7_진보신당_김백규,계_득표수,무효투표수,기권수
충청북도,합계,1183811,696393,313646,349913,19551,683110,13283,487418
충청북도,청주시상당구,182613,100216,46172,50754,2289,99215,1001,82397
충청북도,청주시흥덕구,296977,159875,69434,85301,3916,158651,1224,137102
충청북도,충주시,161522,94688,33714,57677,1753,93144,1544,66834
충청북도,제천시,107034,63341,31942,28593,1661,62196,1145,43693
충청북도,단양군,26512,18918,9662,8005,614,18281,637,7594
충청북도,청원군,117270,69613,28394,37551,2145,68090,1523,47657
충청북도,영동군,41711,28879,14834,11227,1459,27520,1359,12832
충청북도,보은군,29345,21759,10039,9811,1026,20876,883,7586
충청북도,옥천군,44298,30568,14162,13583,1628,29373,1195,13730
충청북도,음성군,70936,40234,19413,18900,1019,39332,902,30702
충청북도,진천군,48180,29291,16933,11064,693,28690,601,18889
충청북도,괴산군,31877,22357,10321,10234,900,21455,902,9520
충청북도,증평군,25536,16654,8626,7213,448,16287,367,8882
