시도,구시군,선거인수,투표수,득표수_1_한나라당_안상수,득표수_2_민주당_송영길,득표수_7_진보신당_김상하,득표수_8_평화민주당_백석두,계_득표수,무효투표수,기권수
인천광역시,합계,2096853,1067431,469040,556902,19580,11258,1056780,10651,1029422
인천광역시,중구,73354,37876,17846,18216,827,458,37347,529,35478
인천광역시,동구,62253,35099,15714,17486,968,421,34589,510,27154
인천광역시,남구,337880,165592,75286,84170,2823,1721,164000,1592,172288
인천광역시,연수구,206407,110292,53027,53495,1978,974,109474,818,96115
인천광역시,남동구,355642,177496,76011,95283,2993,1764,176051,1445,178146
인천광역시,부평구,435655,218198,88370,121650,4190,2258,216468,1730,217457
인천광역시,계양구,259089,131148,51211,75847,1869,1291,130218,930,127941
인천광역시,서구,294322,143331,61389,76308,2586,1783,142066,1265,150991
인천광역시,강화군,56586,37059,23160,10946,1103,386,35595,1464,19527
인천광역시,옹진군,15665,11340,7026,3501,243,202,10972,368,4325
