시도,구시군,선거인수,투표수,득표수_1_한나라당_정운천,득표수_2_민주당_김완주,득표수_3_민주노동당_하연호,득표수_7_진보신당_염경석,득표수_8_평화민주당_김대식,득표수_계,무효투표수,기권수
전라북도,합계,1442805,856111,151064,569980,52331,35565,20990,829930,26181,586694
전라북도,전주시완산구,262926,140319,32656,86435,9616,7025,2685,138417,1902,122607
전라북도,전주시덕진구,210631,107769,22696,66511,7299,8168,1685,106359,1410,102862
전라북도,군산시,207328,113614,17270,81040,6297,4187,1766,110560,3054,93714
전라북도,익산시,234104,126680,23394,84786,7783,3928,3158,123049,3631,107424
전라북도,정읍시,96698,64655,8977,46746,3312,1568,1419,62022,2633,32043
전라북도,남원시,69420,47635,5343,35825,1705,1535,1527,45935,1700,21785
전라북도,김제시,78217,51879,8034,34695,4092,1122,1515,49458,2421,26338
전라북도,완주군,67270,41784,6653,26880,3807,1893,1156,40389,1395,25486
전라북도,진안군,23443,17962,2874,11212,1024,894,1149,17153,809,5481
전라북도,무주군,21439,16739,2369,11135,914,662,669,15749,990,4700
전라북도,장수군,19757,15503,2015,10571,866,728,479,14659,844,4254
전라북도,임실군,26252,19575,3221,12914,1031,806,809,18781,794,6677
전라북도,순창군,25136,19663,2519,13066,1426,699,893,18603,1060,5473
전라북도,고창군,49998,36925,8421,22724,1645,1122,1223,35135,1790,13073
전라북도,부안군,50186,35409,4622,25440,1514,1228,857,33661,1748,14777
