시도,구시군,선거인수,투표수,득표수_1_더불어민주당_양승조,득표수_2_국민의힘_김태흠,득표수_계,무효투표수,기권수
충청남도,합계,1803096,898369,401308,468658,869966,28403,904727
충청남도,천안시서북구,290313,122388,62212,57890,120102,2286,167925
충청남도,천안시동남구,257709,109108,51262,55733,106995,2113,148601
충청남도,공주시,91847,51461,21615,28250,49865,1596,40386
충청남도,보령시,86264,52539,18976,31729,50705,1834,33725
충청남도,아산시,268765,119352,57114,59468,116582,2770,149413
충청남도,서산시,148744,72245,32258,37456,69714,2531,76499
충청남도,태안군,55435,34715,14522,18185,32707,2008,20720
충청남도,금산군,44747,28678,12853,14512,27365,1313,16069
충청남도,논산시,99942,53814,24238,27506,51744,2070,46128
충청남도,계룡시,34875,19307,8666,10218,18884,423,15568
충청남도,당진시,140008,64876,29200,33833,63033,1843,75132
충청남도,부여군,57322,36436,15223,19113,34336,2100,20886
충청남도,서천군,45864,29281,12082,15691,27773,1508,16583
충청남도,홍성군,84260,45721,19088,25264,44352,1369,38539
충청남도,청양군,27932,19683,8203,10281,18484,1199,8249
충청남도,예산군,69069,38765,13796,23529,37325,1440,30304
