시도,구시군,선거인수,투표수,득표수_1_더불어민주당_김동연,득표수_2_국민의힘_김은혜,득표수_3_정의당_황순식,득표수_4_기본소득당_서태성,득표수_5_진보당_송영주,득표수_6_무소속_강용석,득표수_계,무효투표수,기권수
경기도,합계,11497206,5820631,2827593,2818680,38525,9314,13939,54758,5762809,57822,5676575
경기도,수원시장안구,199204,106092,53333,49817,627,153,259,869,105058,1034,93112
경기도,수원시권선구,352407,173856,88562,80304,1090,312,406,1580,172254,1602,178551
경기도,수원시팔달구,164086,79283,37937,38931,488,169,176,724,78425,858,84803
경기도,수원시영통구,296856,160556,81109,75184,1142,212,223,1647,159517,1039,136300
경기도,성남시수정구,208907,106922,53684,49669,630,250,493,964,105690,1232,101985
경기도,성남시중원구,185468,94477,49268,41860,623,212,576,820,93359,1118,90991
경기도,성남시분당구,404133,250683,104254,140622,1266,197,265,2677,249281,1402,153450
경기도,의정부시,400177,187916,92465,89731,1241,259,584,1742,186022,1894,212261
경기도,안양시만안구,208936,111050,54630,53271,712,157,199,904,109873,1177,97886
경기도,안양시동안구,265101,155858,77230,74669,1001,163,186,1432,154681,1177,109243
경기도,부천시,702974,347502,182163,154942,2733,626,713,2826,344003,3499,355472
경기도,광명시,247233,139612,72415,63270,893,249,278,1108,138213,1399,107621
경기도,평택시,478356,208218,96908,104256,1329,393,716,2231,205833,2385,270138
경기도,양주시,197751,95175,45206,46797,598,158,344,920,94023,1152,102576
경기도,동두천시,81074,39750,17338,20853,220,98,197,394,39100,650,41324
경기도,안산시상록구,305390,138968,72030,62496,963,296,425,1289,137499,1469,166422
경기도,안산시단원구,266229,121621,61954,55679,865,261,434,1090,120283,1338,144608
경기도,고양시덕양구,461775,241090,121343,111350,2948,347,914,2055,238957,2133,220685
경기도,고양시일산동구,229024,117269,55015,58884,756,148,226,1365,116394,875,111755
경기도,고양시일산서구,233891,125052,61038,60788,755,139,172,1148,124040,1012,108839
경기도,과천시,65220,42668,18126,23042,539,47,49,530,42333,335,22552
경기도,의왕시,138928,80575,39383,38873,547,137,131,741,79812,763,58353
경기도,구리시,164045,88191,42564,43098,527,118,181,764,87252,939,75854
경기도,남양주시,610260,299336,147630,143096,1826,418,531,2715,296216,3120,310924
경기도,오산시,190375,83231,42038,38577,571,138,194,782,82300,931,107144
경기도,화성시,711229,336743,173747,153636,2028,550,782,3167,333910,2833,374486
경기도,시흥시,431352,195139,104762,84897,1348,301,422,1590,193320,1819,236213
경기도,군포시,231192,128263,65647,58979,866,187,228,1191,127098,1165,102929
경기도,하남시,266856,139747,66362,69943,695,148,215,1232,138595,1152,127109
경기도,파주시,403729,187129,93171,87769,1378,324,507,1801,184950,2179,216600
경기도,여주시,98333,50666,18598,30015,330,111,173,519,49746,920,47667
경기도,이천시,188563,88738,37422,47937,540,194,314,942,87349,1389,99825
경기도,용인시처인구,222743,105135,47234,54483,632,188,308,1014,103859,1276,117608
경기도,용인시수지구,231983,135909,61235,71578,654,100,114,1477,135158,751,96074
경기도,용인시기흥구,434819,241266,118199,117246,1295,238,322,2342,239642,1624,193553
경기도,안성시,163518,81764,36515,42168,657,131,271,826,80568,1196,81754
경기도,김포시,392604,195865,92596,98054,1136,265,383,1802,194236,1629,196739
경기도,광주시,329651,152145,72344,75812,755,168,408,1310,150797,1348,177506
경기도,포천시,131980,67777,27683,36951,444,238,247,765,66328,1449,64203
경기도,연천군,37898,22800,8541,12886,155,148,92,367,22189,611,15098
경기도,양평군,107165,63429,24692,36357,475,108,135,634,62401,1028,43736
경기도,가평군,55791,33165,11222,19910,247,258,146,462,32245,920,22626
